key,fare_amount
2015-01-27 13:08:24.0000002,10.425
2015-01-27 13:08:24.0000003,10.245
2011-10-08 11:53:44.0000002,4.299999999999998
2012-12-01 21:12:12.0000002,8.865
2012-12-01 21:12:12.0000003,16.873
2012-12-01 21:12:12.0000005,11.793999999999999
2011-10-06 12:10:20.0000001,5.175
2011-10-06 12:10:20.0000003,49.245000000000076
2011-10-06 12:10:20.0000002,11.774799999999994
2014-02-18 15:22:20.0000002,6.44
2014-02-18 15:22:20.0000003,10.39
2014-02-18 15:22:20.0000001,18.39
2010-03-29 20:20:32.0000002,4.428000000000002
2010-03-29 20:20:32.0000001,6.643000000000001
2011-10-06 03:59:12.0000002,7.276000000000002
2011-10-06 03:59:12.0000001,10.602
2012-07-15 16:45:04.0000006,10.394
2012-07-15 16:45:04.0000002,8.160000000000004
2012-07-15 16:45:04.0000003,4.771999999999999
2012-07-15 16:45:04.0000004,4.420000000000001
2014-10-29 02:09:56.0000001,7.435
2014-06-14 13:39:00.00000010,8.61
2014-06-14 13:39:00.00000060,7.005
2014-06-14 13:39:00.00000087,9.395
2014-06-14 13:39:00.00000050,18.445
2014-06-14 13:39:00.0000003,7.155
2014-06-14 13:39:00.000000158,36.6282
2014-06-14 13:39:00.00000015,26.1683
2014-06-14 13:39:00.00000073,5.8
2014-06-14 13:39:00.00000077,15.49
2014-06-14 13:39:00.000000145,8.95
2014-06-14 13:39:00.00000079,6.145
2014-06-14 13:39:00.000000121,5.155
2014-06-14 13:39:00.00000021,11.16
2014-06-14 13:39:00.0000005,7.19
2014-06-14 13:39:00.000000165,7.07
2014-06-14 13:39:00.000000184,5.495
2014-06-14 13:39:00.00000059,6.115
2014-06-14 13:39:00.00000070,9.055
2014-06-14 13:39:00.00000068,4.535
2014-06-14 13:39:00.000000133,19.625
2014-06-14 13:39:00.000000128,10.165
2014-06-14 13:39:00.000000136,19.1
2014-06-14 13:39:00.00000017,10.86
2014-06-14 13:39:00.000000111,5.565
2014-06-14 13:39:00.000000115,10.905
2014-06-14 13:39:00.000000168,5.62
2014-06-14 13:39:00.00000031,7.06
2014-06-14 13:39:00.000000116,6.44
2014-06-14 13:39:00.00000051,5.135
2014-06-14 13:39:00.000000193,13.38
2014-06-14 13:39:00.000000132,13.355
2014-06-14 13:39:00.000000167,22.3997
2014-06-14 13:39:00.00000044,5.705
2014-06-14 13:39:00.000000138,7.33
2014-06-14 13:39:00.00000066,15.225
2014-06-14 13:39:00.00000063,10.92
2014-06-14 13:39:00.000000154,11.69
2014-06-14 13:39:00.00000097,13.46
2014-06-14 13:39:00.00000067,12.885
2014-06-14 13:39:00.000000179,7.495
2014-06-14 13:39:00.00000092,10.915
2014-06-14 13:39:00.00000029,5.295
2014-06-14 13:39:00.000000177,5.62
2014-06-14 13:39:00.000000192,6.885
2014-06-14 13:39:00.000000181,6.48
2014-06-14 13:39:00.000000120,10.96
2014-06-14 13:39:00.0000008,5.65
2014-06-14 13:39:00.000000103,4.63
2014-06-14 13:39:00.00000049,17.715
2014-06-14 13:39:00.000000108,6.965
2014-06-14 13:39:00.00000072,5.8732999999999995
2014-06-14 13:39:00.000000182,12.25
2014-06-14 13:39:00.00000061,6.745
2014-06-14 13:39:00.00000093,8.705
2014-06-14 13:39:00.000000170,11.57
2014-06-14 13:39:00.000000147,49.211499999999994
2014-06-14 13:39:00.000000140,5.39
2014-06-14 13:39:00.000000159,4.31
2014-06-14 13:39:00.00000012,4.81
2014-06-14 13:39:00.00000025,6.575
2014-06-14 13:39:00.000000156,5.99
2014-06-14 13:39:00.000000152,8.71
2014-06-14 13:39:00.000000129,11.245
2014-06-14 13:39:00.000000119,18.935
2014-06-14 13:39:00.000000118,5.565
2014-06-14 13:39:00.00000076,5.32
2014-06-14 13:39:00.000000135,6.73
2014-06-14 13:39:00.00000023,18.815
2014-06-14 13:39:00.00000082,9.51
2014-06-14 13:39:00.000000125,11.185
2014-06-14 13:39:00.00000075,9.805
2014-06-14 13:39:00.000000124,6.505
2014-06-14 13:39:00.000000172,7.26
2014-06-14 13:39:00.00000024,14.925
2014-06-14 13:39:00.000000169,13.93
2014-06-14 13:39:00.00000052,12.975
2014-06-14 13:39:00.000000161,14.495
2014-06-14 13:39:00.00000038,8.165
2014-06-14 13:39:00.00000035,10.92
2014-06-14 13:39:00.00000053,11.985
2014-06-14 13:39:00.000000183,6.875
2014-06-14 13:39:00.000000131,57.31179999999994
2014-06-14 13:39:00.000000180,7.34
2014-06-14 13:39:00.000000130,8.6584
2014-06-14 13:39:00.00000032,4.188
2014-06-14 13:39:00.000000148,11.475
2014-06-14 13:39:00.0000007,10.295
2014-06-14 13:39:00.00000095,11.325
2014-06-14 13:39:00.000000144,36.74909999999997
2014-06-14 13:39:00.000000141,31.131999999999998
2014-06-14 13:39:00.000000162,20.355
2014-06-14 13:39:00.00000018,12.97
2014-06-14 13:39:00.00000054,10.38
2014-06-14 13:39:00.00000040,6.085
2014-06-14 13:39:00.00000096,6.62
2014-06-14 13:39:00.00000055,26.654899999999998
2014-06-14 13:39:00.000000109,9.055
2014-06-14 13:39:00.000000151,7.45
2014-06-14 13:39:00.00000016,10.83
2014-06-14 13:39:00.00000062,10.82
2014-06-14 13:39:00.000000191,9.606
2014-06-14 13:39:00.00000034,9.52
2014-06-14 13:39:00.000000160,7.255
2014-06-14 13:39:00.00000013,5.83
2014-06-14 13:39:00.000000188,6.167000000000001
2014-06-14 13:39:00.00000086,8.455
2014-06-14 13:39:00.000000185,12.37
2014-06-14 13:39:00.00000074,9.285
2014-06-14 13:39:00.00000022,17.985
2014-06-14 13:39:00.00000036,5.215
2014-06-14 13:39:00.000000126,3.864
2014-06-14 13:39:00.000000190,6.31
2014-06-14 13:39:00.00000042,6.415
2014-06-14 13:39:00.000000178,7.445
2014-06-14 13:39:00.000000163,5.2
2014-06-14 13:39:00.00000020,12.04
2014-06-14 13:39:00.00000098,6.98
2014-06-14 13:39:00.000000114,22.935
2014-06-14 13:39:00.00000045,9.215
2014-06-14 13:39:00.00000094,5.21
2014-06-14 13:39:00.000000146,10.555
2014-06-14 13:39:00.00000033,8.715
2014-06-14 13:39:00.000000143,4.68
