movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Insidious: The Last Key,Mystery Horror Thriller,medium key haunted house prequel spirit 1950s,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell
The Strange Ones,Thriller Drama,sibling relationship fire cave motel nightmare road trip remake woods woman director,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus
Stratton,Action Thriller,based on novel or book terrorist british commando,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan
Sweet Country,Drama History Western,rape slavery court case bible australia based on a true story desert australian aborigine 1920s abuse of power aboriginal spoken,Warwick Thornton,Bryan Brown,Sam Neill,
The Commuter,Action Thriller,conspiracy train,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson
Proud Mary,Thriller Action Crime,hitman girls with guns,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover
Acts of Violence,Action,post traumatic stress  disorder kidnapping cleveland human trafficking police stripper murder abduction,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore
Freak Show,Comedy Drama,transvestite high school lgbt hate crime woman director homecoming queen,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler
Humor Me,Comedy,parent child relationship,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson
Vazante,Drama,,Daniela Thomas,Adriano Carvalho,Luana Nastas,
Mary and the Witch's Flower,Fantasy Adventure Animation,witch based on novel or book cat magic flower broom school of witchcraft based on children's book anime,Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet
12 Strong,Drama Action History War,cia based on novel or book afghanistan taliban based on a true story post 9/11,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña
Den of Thieves,Action Thriller Crime,"detective police brutality fbi donut strip club heist shootout los angeles, california divorce bank robbery car chase death ex-marine armored truck donut shop",Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber
Forever My Girl,Romance Drama Music,second chance hometown father daughter relationship,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey
Maze Runner: The Death Cure,Action Science Fiction,based on novel or book fight maze imprisonment post-apocalyptic future terminal illness shooting sequel murder mad scientist survival trial zombie doctor battle vaccine scientist city killer desert labyrinth combat illness cure zombie apocalypse runner universal cure based on young adult novel,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster
The Insult,Comedy Crime,undercover spoof state prison academy awards,Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha
Please Stand By,Comedy Drama,runaway autism manuscript,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve
Winchester,Fantasy Mystery Thriller Horror,drug addiction haunted house earthquake based on a true story rifle architecture doctor ghost fictional biography,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook
A Fantastic Woman,Drama,spain waitress loss singer death of lover transgender,Sebastián Lelio,Daniela Vega,Francisco Reyes,
Armed,Action Horror Thriller,sci-fi horror,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman
The Cloverfield Paradox,Mystery Thriller Horror Science Fiction,experiment disorientation space alien scientist space station sci-fi horror alternative universe,Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie
Peter Rabbit,Animation Adventure Family,human animal relationship based on children's book rabbit duringcreditsstinger,Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne
Fifty Shades Freed,Drama Romance,based on novel or book eroticism sequel bdsm,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger
The 15:17 to Paris,Drama History Thriller,"paris, france based on novel or book terrorist classroom train terrorism terrorist group",Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone
La Boda de Valentina,Comedy,,Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes
Kri,,,Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi
Permission,Comedy Romance Drama,marriage proposal,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector
Monster Family,Animation Family Fantasy Comedy,vampire werewolf happiness,Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost
Golden Exits,Drama,,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker
Black Panther,Action Adventure Fantasy Science Fiction,africa superhero based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o
Early Man,Family Comedy Animation Adventure,stone age mining sports stop motion prehistoric cavemen kids claymation plasticine football (soccer) match bronze age,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams
Loveless,Drama,murder gang motorcycle violence leather woman director,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov
The Party,Comedy,movie business party,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson
Nostalgia,Drama,memory relationship,Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn
Black '47,Drama Western,deserter famine revenge tenant poverty ireland bad landlord landlord tenant relationship starvation 19th century manhunt british occupation connemara,Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea
Samson,Action Drama Adventure,jew / jewish bible god samson strength,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane
Game Night,Mystery Comedy Crime,husband wife relationship kidnapping board game dark comedy neighbor aftercreditsstinger brother brother relationship,"Jonathan Goldstein, John Francis Daley (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Kyle Chandler, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall",Jason Bateman,Rachel McAdams,Kyle Chandler
Annihilation,Science Fiction Horror,coma based on novel or book depression florida dna self-destruction expedition professor mutation alligator transformation swamp meteor quarantine physicist hybrid grief cancer psychologist memory loss scientist team paramedic missing person beast geologist biologist unusual phenomena compound missing husband fauna mysterious life form flora,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez
Every Day,Drama Fantasy Romance,based on novel or book transformation body switch based on young adult novel,Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan
The Cured,Horror Drama Science Fiction,infection flashback zombie disease military cure pack,David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor
The Lodgers,Drama Horror Romance Thriller,haunted house rural area twins gothic horror spooky house 1920s spooky,Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon
Red Sparrow,Mystery Thriller,cia based on novel or book russia seduction training russian spy,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts
Death Wish,Action Crime Drama Thriller,robbery detective based on novel or book gun kidnapping police vigilante remake shootout blood dark hero criminal death of wife father daughter relationship vigilante justice,Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris
The Vanishing of Sidney Hall,Drama Mystery,arson writer classmate novel,Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan
