movie_title,title_year,genres,actor_1_name,actor_2_name,actor_3_name,director_name,keywords
Avatar,2009.0,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,James Cameron,avatar future marine native paraplegic
Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,goddess marriage ceremony marriage proposal pirate singapore
Spectre,2015.0,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,bomb espionage sequel spy terrorist
The Dark Knight Rises,2012.0,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,deception imprisonment lawlessness police officer terrorist plot
Star Wars: Episode VII - The Force Awakens            ,unknown,Documentary,Doug Walker,Rob Walker,unknown,Doug Walker,unknown
John Carter,2012.0,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,alien american civil war male nipple mars princess
Spider-Man 3,2007.0,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,sandman spider man symbiote venom villain
Tangled,2010.0,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,17th century based on fairy tale disney flower tower
Avengers: Age of Ultron,2015.0,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,artificial intelligence based on comic book captain america marvel cinematic universe superhero
Harry Potter and the Half-Blood Prince,2009.0,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,blood book love potion professor
Batman v Superman: Dawn of Justice,2016.0,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,based on comic book batman sequel to a reboot superhero superman
Superman Returns,2006.0,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,crystal epic lex luthor lois lane return to earth
Quantum of Solace,2008.0,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,action hero attempted rape bond girl official james bond series revenge
Pirates of the Caribbean: Dead Man's Chest,2006.0,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,box office hit giant squid heart liar's dice monster
The Lone Ranger,2013.0,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,horse outlaw texas texas ranger train
Man of Steel,2013.0,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,based on comic book british actor playing american character final battle origin of hero reboot
The Chronicles of Narnia: Prince Caspian,2008.0,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,brother brother relationship brother sister relationship good versus evil king narnia
The Avengers,2012.0,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,alien invasion assassin battle iron man soldier
Pirates of the Caribbean: On Stranger Tides,2011.0,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,blackbeard captain pirate revenge soldier
Men in Black 3,2012.0,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,alien criminal m.i.b. maximum security prison prison
The Hobbit: The Battle of the Five Armies,2014.0,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,army elf hobbit middle earth orc
The Amazing Spider-Man,2012.0,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,lizard outcast spider spider man teenager
Robin Hood,2010.0,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,Ridley Scott,1190s archer england king of england robin hood
The Hobbit: The Desolation of Smaug,2013.0,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,dwarf elf lake town mountain sword and sorcery
The Golden Compass,2007.0,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,children epic friend girl quest
King Kong,2005.0,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,animal name in title ape abducts a woman gorilla island king kong
Titanic,1997.0,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,artist love ship titanic wet
Captain America: Civil War,2016.0,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,based on comic book knife marvel cinematic universe returning character killed off superhero
Battleship,2012.0,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,box office flop hawaii naval oahu hawaii ship
Jurassic World,2015.0,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,dinosaur disaster film experiment gone wrong jurassic park velociraptor
Skyfall,2012.0,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,brawl childhood home computer cracker intelligence agency terrorist cell
Spider-Man 2,2004.0,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,death doctor scientist super villain tentacle
Iron Man 3,2013.0,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,armor explosion human bomb missile attack terrorist
Alice in Wonderland,2010.0,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,alice in wonderland mistaking reality for dream queen shrinking shrinking potion
X-Men: The Last Stand,2006.0,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,battle mutant outrage walking through a wall x men
Monsters University,2013.0,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,cheating fraternity monster singing in a car university
Transformers: Revenge of the Fallen,2009.0,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,autobot decepticon machine sun symbol
Transformers: Age of Extinction,2014.0,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,blockbuster bumblebee the character semi truck and trailer texas truck
Oz the Great and Powerful,2013.0,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,Sam Raimi,circus magic magician oz witch
The Amazing Spider-Man 2,2014.0,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,costumed hero death of girlfriend masked vigilante returning character killed off teenager
TRON: Legacy,2010.0,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,arcade bridge disappearance escape warrior
